Hora,betaT@
00:00,0.2
00:15,0.2
00:30,0.2
00:45,0.2
01:00,0.2
01:15,0.2
01:30,0.2
01:45,0.2
02:00,0.2
02:15,0.2
02:30,0.2
02:45,0.2
03:00,0.2
03:15,0.2
03:30,0.2
03:45,0.2
04:00,0.2
04:15,0.2
04:30,0.2
04:45,0.2
05:00,0.2
05:15,0.2
05:30,0.2
05:45,0.2
06:00,0.2
06:15,0.2
06:30,0.2
06:45,0.2
07:00,0.2
07:15,0.2
07:30,0.2
07:45,0.2
08:00,0.2
08:15,0.2
08:30,0.2
08:45,0.2
09:00,0.2
09:15,0.2
09:30,0.2
09:45,0.2
10:00,0.2
10:15,0.2
10:30,0.2
10:45,0.2
11:00,0.2
11:15,0.2
11:30,0.2
11:45,0.2
12:00,0.2
12:15,0.2
12:30,0.2
12:45,0.2
13:00,0.2
13:15,0.2
13:30,0.2
13:45,0.2
14:00,0.2
14:15,0.2
14:30,0.2
14:45,0.2
15:00,0.2
15:15,0.2
15:30,0.2
15:45,0.2
16:00,0.2
16:15,0.2
16:30,0.2
16:45,0.2
17:00,0.2
17:15,0.2
17:30,0.2
17:45,0.2
18:00,0.2
18:15,0.2
18:30,0.2
18:45,0.2
19:00,0.2
19:15,0.2
19:30,0.2
19:45,0.2
20:00,0.2
20:15,0.2
20:30,0.2
20:45,0.2
21:00,0.2
21:15,0.2
21:30,0.2
21:45,0.2
22:00,0.2
22:15,0.2
22:30,0.2
22:45,0.2
23:00,0.2
23:15,0.2
23:30,0.2
23:45,0.2
00:00,0.2
00:15,0.2
00:30,0.2
00:45,0.2
01:00,0.2
01:15,0.2
01:30,0.2
01:45,0.2
02:00,0.2
02:15,0.2
02:30,0.2
02:45,0.2
03:00,0.2
03:15,0.2
03:30,0.2
03:45,0.2
04:00,0.2
04:15,0.2
04:30,0.2
04:45,0.2
05:00,0.2
05:15,0.2
05:30,0.2
05:45,0.2
06:00,0.2
06:15,0.2
06:30,0.2
06:45,0.2
07:00,0.2
07:15,0.2
07:30,0.2
07:45,0.2
08:00,0.2
08:15,0.2
08:30,0.2
08:45,0.2
09:00,0.2
09:15,0.2
09:30,0.2
09:45,0.2
10:00,0.2
10:15,0.2
10:30,0.2
10:45,0.2
11:00,0.2
11:15,0.2
11:30,0.2
11:45,0.2
12:00,0.2
12:15,0.2
12:30,0.2
12:45,0.2
13:00,0.2
13:15,0.2
13:30,0.2
13:45,0.2
14:00,0.2
14:15,0.2
14:30,0.2
14:45,0.2
15:00,0.2
15:15,0.2
15:30,0.2
15:45,0.2
16:00,0.2
16:15,0.2
16:30,0.2
16:45,0.2
17:00,0.2
17:15,0.2
17:30,0.2
17:45,0.2
18:00,0.2
18:15,0.2
18:30,0.2
18:45,0.2
19:00,0.2
19:15,0.2
19:30,0.2
19:45,0.2
20:00,0.2
20:15,0.2
20:30,0.2
20:45,0.2
21:00,0.2
21:15,0.2
21:30,0.2
21:45,0.2
22:00,0.2
22:15,0.2
22:30,0.2
22:45,0.2
23:00,0.2
23:15,0.2
23:30,0.2
23:45,0.2
